Fächergruppe;Geschlecht;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Geisteswissenschaften;männlich;4038;4031;2941;2920;2919;2892;2854;2809;2763;2742
Geisteswissenschaften;weiblich;2315;2418;1655;1711;1754;1797;1839;1884;1967;2016
Geisteswissenschaften;Insgesamt;6353;6449;4596;4631;4673;4689;4693;4693;4730;4758
Sport;männlich;209;202;198;213;208;209;211;206;212;225
Sport;weiblich;50;54;59;58;59;65;73;81;84;85
Sport;Insgesamt;259;256;257;271;267;274;284;287;296;310
Rechts-, Wirtschafts- und Sozialwissenschaften;männlich;8237;8355;9557;9575;9812;9927;9969;10091;10161;10262
Rechts-, Wirtschafts- und Sozialwissenschaften;weiblich;2659;2830;3829;3984;4193;4369;4558;4743;4972;5179
Rechts-, Wirtschafts- und Sozialwissenschaften;Insgesamt;10896;11185;13386;13559;14005;14296;14527;14834;15133;15441
Mathematik, Naturwissenschaften;männlich;7617;7628;5302;5248;5208;5179;5170;5076;5096;5070
Mathematik, Naturwissenschaften;weiblich;1344;1398;1115;1147;1212;1239;1286;1325;1392;1459
Mathematik, Naturwissenschaften;Insgesamt;8961;9026;6417;6395;6420;6418;6456;6401;6488;6529
Humanmedizin/Gesundheitswissenschaften;männlich;3058;3063;3057;3178;3234;3295;3344;3487;3593;3639
Humanmedizin/Gesundheitswissenschaften;weiblich;684;726;791;864;924;1023;1098;1208;1327;1445
Humanmedizin/Gesundheitswissenschaften;Insgesamt;3742;3789;3848;4042;4158;4318;4442;4695;4920;5084
Veterinärmedizin;männlich;134;135;-;-;-;-;-;-;-;-
Veterinärmedizin;weiblich;44;45;-;-;-;-;-;-;-;-
Veterinärmedizin;Insgesamt;178;180;-;-;-;-;-;-;-;-
Agrar-, Forst- und Ernährungswissenschaften;männlich;784;765;-;-;-;-;-;-;-;-
Agrar-, Forst- und Ernährungswissenschaften;weiblich;235;243;-;-;-;-;-;-;-;-
Agrar-, Forst- und Ernährungswissenschaften;Insgesamt;1019;1008;-;-;-;-;-;-;-;-
Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin;männlich;-;-;878;891;886;886;837;832;826;826
Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin;weiblich;-;-;287;311;316;336;346;350;386;404
Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin;Insgesamt;-;-;1165;1202;1202;1222;1183;1182;1212;1230
Ingenieurwissenschaften;männlich;8335;8432;10794;10806;10832;10836;10829;10919;10970;11099
Ingenieurwissenschaften;weiblich;981;1031;1422;1491;1554;1604;1706;1821;1912;2046
Ingenieurwissenschaften;Insgesamt;9316;9463;12216;12297;12386;12440;12535;12740;12882;13145
Kunst, Kunstwissenschaft;männlich;2550;2545;2526;2501;2498;2475;2445;2467;2497;2489
Kunst, Kunstwissenschaft;weiblich;1104;1138;1180;1201;1236;1278;1320;1354;1412;1462
Kunst, Kunstwissenschaft;Insgesamt;3654;3683;3706;3702;3734;3753;3765;3821;3909;3951
Zentr.Einrichtungen (o. klinikspez. Einrichtungen);männlich;452;513;540;528;506;484;459;427;435;444
Zentr.Einrichtungen (o. klinikspez. Einrichtungen);weiblich;167;176;187;182;187;184;176;177;196;220
Zentr.Einrichtungen (o. klinikspez. Einrichtungen);Insgesamt;619;689;727;710;693;668;635;604;631;664
Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.);männlich;12;18;16;20;23;26;21;30;43;39
Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.);weiblich;4;3;10;6;7;7;6;6;16;10
Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.);Insgesamt;16;21;26;26;30;33;27;36;59;49
Insgesamt;männlich;35426;35687;35809;35880;36126;36209;36139;36344;36596;36835
Insgesamt;weiblich;9587;10062;10535;10955;11442;11902;12408;12949;13664;14326
Insgesamt;Insgesamt;45013;45749;46344;46835;47568;48111;48547;49293;50260;51161
